city_name,date,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
Alaminos,2024-08-01,1.0,337.12375000000003,0.08875000000000001,4.49625,30.509999999999998,1.06,5.295,6.49375,5.04
Alaminos,2024-08-02,1.5,439.76375,0.45,7.0424999999999995,24.9775,1.61625,9.3925,11.04375,6.88875
Alaminos,2024-08-03,1.0,302.495,0.0475,2.9825,32.3225,0.71875,2.52875,3.2375,3.98
Alaminos,2024-08-04,1.0,314.59375,0.04625,3.11625,42.64875,0.74125,3.95625,4.7625,3.9899999999999998
Alaminos,2024-08-05,1.125,350.06,0.075,4.435,34.33125,0.8975,6.3625,7.2212499999999995,4.215
Alaminos,2024-08-06,1.0,311.25625,0.07125000000000001,2.8325,36.50125,0.58125,4.319999999999999,5.085,2.29375
Alaminos,2024-08-07,1.0,279.96375,0.035,1.4675,40.90375,0.3675,2.09625,2.805,1.01125
Alaminos,2024-08-08,1.0,311.67375,0.02375,1.42625,37.01375,0.3125,3.08625,3.83125,0.765
Alaminos,2024-08-09,1.0,297.4875,0.00875,1.5125,38.08625,0.32,1.93125,2.69125,0.8625
Alaminos,2024-08-10,1.0,260.7725,0.025,1.23125,39.65375,0.2825,1.8575,2.78,0.74125
Alaminos,2024-08-11,1.0,269.115,0.0375,1.2825,29.99625,0.3175,2.19875,3.25375,0.78875
Alaminos,2024-08-12,1.0,281.63374999999996,0.045,1.7962500000000001,20.0725,0.42625,3.085,4.3125,1.13875
Alaminos,2024-08-13,1.0,304.1625,0.09875,2.93375,17.2375,0.65875,3.335,4.3412500000000005,2.3825
Alaminos,2024-08-14,1.0,333.37,0.043750000000000004,4.48375,24.34125,0.885,3.575,4.55125,3.8625
Alaminos,2024-08-15,1.125,374.25875,0.06,4.555,22.575,1.0162499999999999,5.5375,6.665,4.42125
Alaminos,2024-08-16,1.125,323.77375,0.20375000000000001,3.80125,14.1825,1.05,4.70625,5.78,2.6075
Alaminos,2024-08-17,1.5,402.63,1.0050000000000001,6.23625,21.82625,1.61125,11.71875,13.5425,4.775
Alaminos,2024-08-18,1.375,386.3575,0.28375,5.353750000000001,34.36625,1.2825,10.2475,11.883750000000001,5.84375
Alaminos,2024-08-19,1.25,377.18125000000003,0.20750000000000002,6.8325,24.61125,2.6637500000000003,7.92,9.145,6.955
Alaminos,2024-08-20,3.125,629.605,0.36625,10.39125,49.94375,4.23,38.72125,41.335,5.5287500000000005
Alaminos,2024-08-21,2.875,516.11875,0.0325,7.4975000000000005,64.21875,3.53875,34.51375,36.175,3.9587499999999998
Alaminos,2024-08-22,2.625,464.38,0.0175,3.71125,67.235,1.38625,28.912499999999998,29.7925,4.22375
Alaminos,2024-08-23,2.125,459.79125,0.11625,6.425,34.3775,2.25875,17.34125,18.68375,4.27125
Alaminos,2024-08-24,1.875,409.72375,0.265,6.9625,36.75625,2.1375,15.86625,17.37375,5.42375
Alaminos,2024-08-25,2.5,415.56374999999997,0.25875000000000004,8.27,45.2625,3.545,23.275,24.24125,3.3649999999999998
Alaminos,2024-08-26,2.25,563.68125,0.058750000000000004,8.165,36.746249999999996,1.98625,25.30875,26.4125,8.2725
Alaminos,2024-08-27,1.5,376.76125,0.26375,5.3425,28.4425,2.0225,8.7575,9.6625,3.55125
Alaminos,2024-08-28,1.0,264.945,0.12125,2.74,31.91875,1.2037499999999999,2.68,3.3125,1.61375
Alaminos,2024-08-29,1.125,341.7125,0.1275,5.0975,31.4725,2.6625,5.93125,6.62375,1.6825
Alaminos,2024-08-30,1.5,435.59125,0.19125000000000003,6.3375,26.341250000000002,2.12125,9.61125,10.93375,1.9125
Alaminos,2024-08-31,1.5,409.72375,0.17,5.88375,32.61125,2.9125,10.940000000000001,12.07625,3.39125
Angeles City,2024-08-01,2.0,539.065,0.1375,10.3425,26.98,4.4087499999999995,17.34375,19.8475,14.70875
Angeles City,2024-08-02,2.857142857142857,715.7342857142856,0.1942857142857143,16.94,41.94571428571429,6.538571428571428,34.82714285714286,38.06428571428571,16.424285714285713
Angeles City,2024-08-03,4.0,851.155,0.135,17.10875,57.6225,6.43875,62.35625,65.52875,14.63125
Angeles City,2024-08-04,2.5,584.54375,0.24875000000000003,11.13625,33.025,4.5687500000000005,29.3175,31.955000000000002,14.31
